city,state_name_x,state_id,county,lat,lng,city_population,county_fips,county_population,density,pct_men,pct_women,pct_hispanic,pct_white,pct_black,pct_native,pct_asian,pct_pacific,pct_voters,pct_poverty,pct_child_poverty,pct_unemployed,pct_professional,pct_service,pct_office,pct_construction,pct_production,pct_drive,pct_carpool,pct_transit,pct_walk,pct_other_transportation,pct_work_at_home,pct_private_work,pct_public_work,pct_self_employed,pct_family_work,avg_income,income_error,income_per_cap,income_per_cap_err,mean_commute,covid_cases_per_100k,covid_deaths_per_100k,covid_case_to_death_pct,LTM_mean_temp,LTM_mean_percipitation,LTM_min_temp,LTM_max_temp,cvap,foreignborn_pct,age29andunder_pct,age65andolder_pct,clf_unemploy_pct,lesshs_pct,lesscollege_pct,lesshs_whites_pct,lesscollege_whites_pct,rural_pct,ruralurban_cc,rep_pct,dem_pct,crime_per_100,avg_propty_tax,size_feature,diversity_feature,education_feature,wealth_feature,home_price_feature,urban_feature,political_feature,weather_feature,covid_feature,profession_feature,transportation_feature,poverty_feature,age_feature
El Monte,California,CA,Los Angeles County,-0.553968867,-1.173628712,-0.127763288,-1.022265397,3.666598351,1.79392644,0.10281022,-0.10281022,1.394765806,-1.424526474,-0.318397723,-0.212720789,1.104617694,0.086146591,-1.178768305,0.508167616,0.579071128,0.617567745,-0.252855678,0.365495459,0.107421179,-0.286503577,0.39476361,-0.417919867,0.067961102,0.353429523,0.125670666,0.310698137,0.246262256,-0.305132873,-0.512137162,1.89390616,0.652987536,-0.109254513,-1.415590556,-0.186502966,-1.377562732,1.064815493,0.213855445,0.126397732,-0.045392617,0.385364779,-0.94768258,0.2976509,0.456747901,3.609940668,1.649959367,0.046303039,-0.402448989,0.675539556,1.521564565,0.208434499,-0.217525905,-0.750727573,-0.821541925,-0.709361204,-1.314843151,1.283197568,-0.836658521,0.716321361,-0.127763288,0.914188181,-1.041128101,-0.186502966,0.716321361,-0.709361204,1.283197568,0.456747901,0.218450951,-0.305132873,0.321109757,0.569665022,-0.186112194
Downey,California,CA,Los Angeles County,-0.579602846,-1.179654652,-0.138541327,-1.022265397,3.666598351,1.078134578,0.10281022,-0.10281022,1.394765806,-1.424526474,-0.318397723,-0.212720789,1.104617694,0.086146591,-1.178768305,0.508167616,0.579071128,0.617567745,-0.252855678,0.365495459,0.107421179,-0.286503577,0.39476361,-0.417919867,0.067961102,0.353429523,0.125670666,0.310698137,0.246262256,-0.305132873,-0.512137162,1.89390616,0.652987536,-0.109254513,-1.415590556,-0.186502966,-1.377562732,1.064815493,0.213855445,0.126397732,-0.045392617,0.385364779,-0.94768258,0.2976509,0.456747901,3.609940668,1.649959367,0.046303039,-0.402448989,0.675539556,1.521564565,0.208434499,-0.217525905,-0.750727573,-0.821541925,-0.709361204,-1.314843151,1.283197568,-0.378519994,0.716321361,-0.138541327,0.914188181,-1.041128101,-0.186502966,0.716321361,-0.709361204,1.283197568,0.456747901,0.218450951,-0.305132873,0.321109757,0.569665022,-0.186112194
Inglewood,California,CA,Los Angeles County,-0.576078174,-1.192237713,-0.145893921,-1.022265397,3.666598351,1.75890843,0.10281022,-0.10281022,1.394765806,-1.424526474,-0.318397723,-0.212720789,1.104617694,0.086146591,-1.178768305,0.508167616,0.579071128,0.617567745,-0.252855678,0.365495459,0.107421179,-0.286503577,0.39476361,-0.417919867,0.067961102,0.353429523,0.125670666,0.310698137,0.246262256,-0.305132873,-0.512137162,1.89390616,0.652987536,-0.109254513,-1.415590556,-0.186502966,-1.377562732,1.064815493,0.213855445,0.126397732,-0.045392617,0.385364779,-0.94768258,0.2976509,0.456747901,3.609940668,1.649959367,0.046303039,-0.402448989,0.675539556,1.521564565,0.208434499,-0.217525905,-0.750727573,-0.821541925,-0.709361204,-1.314843151,1.283197568,-0.3790646,0.716321361,-0.145893921,0.914188181,-1.041128101,-0.186502966,0.716321361,-0.709361204,1.283197568,0.456747901,0.218450951,-0.305132873,0.321109757,0.569665022,-0.186112194
West Covina,California,CA,Los Angeles County,-0.557436994,-1.166670255,-0.153431875,-1.022265397,3.666598351,0.52734283,0.10281022,-0.10281022,1.394765806,-1.424526474,-0.318397723,-0.212720789,1.104617694,0.086146591,-1.178768305,0.508167616,0.579071128,0.617567745,-0.252855678,0.365495459,0.107421179,-0.286503577,0.39476361,-0.417919867,0.067961102,0.353429523,0.125670666,0.310698137,0.246262256,-0.305132873,-0.512137162,1.89390616,0.652987536,-0.109254513,-1.415590556,-0.186502966,-1.377562732,1.064815493,0.213855445,0.126397732,-0.045392617,0.385364779,-0.94768258,0.2976509,0.456747901,3.609940668,1.649959367,0.046303039,-0.402448989,0.675539556,1.521564565,0.208434499,-0.217525905,-0.750727573,-0.821541925,-0.709361204,-1.314843151,1.283197568,-0.251707954,0.716321361,-0.153431875,0.914188181,-1.041128101,-0.186502966,0.716321361,-0.709361204,1.283197568,0.456747901,0.218450951,-0.305132873,0.321109757,0.569665022,-0.186112194
Norwalk,California,CA,Los Angeles County,-0.585445885,-1.176803987,-0.156278997,-1.022265397,3.666598351,1.479357877,0.10281022,-0.10281022,1.394765806,-1.424526474,-0.318397723,-0.212720789,1.104617694,0.086146591,-1.178768305,0.508167616,0.579071128,0.617567745,-0.252855678,0.365495459,0.107421179,-0.286503577,0.39476361,-0.417919867,0.067961102,0.353429523,0.125670666,0.310698137,0.246262256,-0.305132873,-0.512137162,1.89390616,0.652987536,-0.109254513,-1.415590556,-0.186502966,-1.377562732,1.064815493,0.213855445,0.126397732,-0.045392617,0.385364779,-0.94768258,0.2976509,0.456747901,3.609940668,1.649959367,0.046303039,-0.402448989,0.675539556,1.521564565,0.208434499,-0.217525905,-0.750727573,-0.821541925,-0.709361204,-1.314843151,1.283197568,-0.859076473,0.716321361,-0.156278997,0.914188181,-1.041128101,-0.186502966,0.716321361,-0.709361204,1.283197568,0.456747901,0.218450951,-0.305132873,0.321109757,0.569665022,-0.186112194
Burbank,California,CA,Los Angeles County,-0.532481562,-1.191004195,-0.159832957,-1.022265397,3.666598351,0.382522586,0.10281022,-0.10281022,1.394765806,-1.424526474,-0.318397723,-0.212720789,1.104617694,0.086146591,-1.178768305,0.508167616,0.579071128,0.617567745,-0.252855678,0.365495459,0.107421179,-0.286503577,0.39476361,-0.417919867,0.067961102,0.353429523,0.125670666,0.310698137,0.246262256,-0.305132873,-0.512137162,1.89390616,0.652987536,-0.109254513,-1.415590556,-0.186502966,-1.377562732,1.064815493,0.213855445,0.126397732,-0.045392617,0.385364779,-0.94768258,0.2976509,0.456747901,3.609940668,1.649959367,0.046303039,-0.402448989,0.675539556,1.521564565,0.208434499,-0.217525905,-0.750727573,-0.821541925,-0.709361204,-1.314843151,1.283197568,-0.43521141,0.716321361,-0.159832957,0.914188181,-1.041128101,-0.186502966,0.716321361,-0.709361204,1.283197568,0.456747901,0.218450951,-0.305132873,0.321109757,0.569665022,-0.186112194
Burbank,California,CA,Santa Clara County,0.058098917,-1.40389518,-0.159832957,-1.019452076,0.139909172,1.917973288,1.385527019,-1.385527019,0.172492648,-1.12237282,-0.792184841,-0.212720789,4.152314873,0.429264545,-1.301039068,-1.257197688,-1.382799464,-0.504250465,1.96544144,-1.148486411,-2.59246379,-0.743515147,-1.033328569,-0.240903658,0.572986533,0.042960732,-0.219574809,1.050254654,-0.079700436,0.968772474,-0.991218133,-0.068674684,-0.654853215,2.880941512,-0.175972292,2.13888165,-0.143273104,0.454104979,-1.307325919,-0.910769321,-0.482968155,0.065227449,-0.924128749,-0.059498337,0.182159807,0.091949681,1.97500344,-0.393790612,-0.39815804,-0.444111973,-0.049804324,-1.660541864,-0.889708367,-1.501494641,-0.765041086,-0.709361204,-1.448012455,1.349418618,-0.43521141,1.355233034,-0.159832957,1.143479941,0.87210966,2.13888165,1.355233034,-0.709361204,1.349418618,0.182159807,-1.36241453,0.968772474,-0.016004512,-1.371248946,0.114189663
Compton,California,CA,Los Angeles County,-0.588065828,-1.185338276,-0.176900862,-1.022265397,3.666598351,1.210490785,0.10281022,-0.10281022,1.394765806,-1.424526474,-0.318397723,-0.212720789,1.104617694,0.086146591,-1.178768305,0.508167616,0.579071128,0.617567745,-0.252855678,0.365495459,0.107421179,-0.286503577,0.39476361,-0.417919867,0.067961102,0.353429523,0.125670666,0.310698137,0.246262256,-0.305132873,-0.512137162,1.89390616,0.652987536,-0.109254513,-1.415590556,-0.186502966,-1.377562732,1.064815493,0.213855445,0.126397732,-0.045392617,0.385364779,-0.94768258,0.2976509,0.456747901,3.609940668,1.649959367,0.046303039,-0.402448989,0.675539556,1.521564565,0.208434499,-0.217525905,-0.750727573,-0.821541925,-0.709361204,-1.314843151,1.283197568,-0.186394524,0.716321361,-0.176900862,0.914188181,-1.041128101,-0.186502966,0.716321361,-0.709361204,1.283197568,0.456747901,0.218450951,-0.305132873,0.321109757,0.569665022,-0.186112194
South Gate,California,CA,Los Angeles County,-0.578302298,-1.183278479,-0.182241688,-1.022265397,3.666598351,1.98504168,0.10281022,-0.10281022,1.394765806,-1.424526474,-0.318397723,-0.212720789,1.104617694,0.086146591,-1.178768305,0.508167616,0.579071128,0.617567745,-0.252855678,0.365495459,0.107421179,-0.286503577,0.39476361,-0.417919867,0.067961102,0.353429523,0.125670666,0.310698137,0.246262256,-0.305132873,-0.512137162,1.89390616,0.652987536,-0.109254513,-1.415590556,-0.186502966,-1.377562732,1.064815493,0.213855445,0.126397732,-0.045392617,0.385364779,-0.94768258,0.2976509,0.456747901,3.609940668,1.649959367,0.046303039,-0.402448989,0.675539556,1.521564565,0.208434499,-0.217525905,-0.750727573,-0.821541925,-0.709361204,-1.314843151,1.283197568,0.306708464,0.716321361,-0.182241688,0.914188181,-1.041128101,-0.186502966,0.716321361,-0.709361204,1.283197568,0.456747901,0.218450951,-0.305132873,0.321109757,0.569665022,-0.186112194
Carson,California,CA,Los Angeles County,-0.598545602,-1.187014444,-0.187308182,-1.022265397,3.666598351,0.143925299,0.10281022,-0.10281022,1.394765806,-1.424526474,-0.318397723,-0.212720789,1.104617694,0.086146591,-1.178768305,0.508167616,0.579071128,0.617567745,-0.252855678,0.365495459,0.107421179,-0.286503577,0.39476361,-0.417919867,0.067961102,0.353429523,0.125670666,0.310698137,0.246262256,-0.305132873,-0.512137162,1.89390616,0.652987536,-0.109254513,-1.415590556,-0.186502966,-1.377562732,1.064815493,0.213855445,0.126397732,-0.045392617,0.385364779,-0.94768258,0.2976509,0.456747901,3.609940668,1.649959367,0.046303039,-0.402448989,0.675539556,1.521564565,0.208434499,-0.217525905,-0.750727573,-0.821541925,-0.709361204,-1.314843151,1.283197568,-0.477865426,0.716321361,-0.187308182,0.914188181,-1.041128101,-0.186502966,0.716321361,-0.709361204,1.283197568,0.456747901,0.218450951,-0.305132873,0.321109757,0.569665022,-0.186112194
Santa Monica,California,CA,Los Angeles County,-0.563525064,-1.200317548,-0.189762342,-1.022265397,3.666598351,1.487667235,0.10281022,-0.10281022,1.394765806,-1.424526474,-0.318397723,-0.212720789,1.104617694,0.086146591,-1.178768305,0.508167616,0.579071128,0.617567745,-0.252855678,0.365495459,0.107421179,-0.286503577,0.39476361,-0.417919867,0.067961102,0.353429523,0.125670666,0.310698137,0.246262256,-0.305132873,-0.512137162,1.89390616,0.652987536,-0.109254513,-1.415590556,-0.186502966,-1.377562732,1.064815493,0.213855445,0.126397732,-0.045392617,0.385364779,-0.94768258,0.2976509,0.456747901,3.609940668,1.649959367,0.046303039,-0.402448989,0.675539556,1.521564565,0.208434499,-0.217525905,-0.750727573,-0.821541925,-0.709361204,-1.314843151,1.283197568,0.751898056,0.716321361,-0.189762342,0.914188181,-1.041128101,-0.186502966,0.716321361,-0.709361204,1.283197568,0.456747901,0.218450951,-0.305132873,0.321109757,0.569665022,-0.186112194
Hawthorne,California,CA,Los Angeles County,-0.583994549,-1.192426577,-0.20047118,-1.022265397,3.666598351,2.268746912,0.10281022,-0.10281022,1.394765806,-1.424526474,-0.318397723,-0.212720789,1.104617694,0.086146591,-1.178768305,0.508167616,0.579071128,0.617567745,-0.252855678,0.365495459,0.107421179,-0.286503577,0.39476361,-0.417919867,0.067961102,0.353429523,0.125670666,0.310698137,0.246262256,-0.305132873,-0.512137162,1.89390616,0.652987536,-0.109254513,-1.415590556,-0.186502966,-1.377562732,1.064815493,0.213855445,0.126397732,-0.045392617,0.385364779,-0.94768258,0.2976509,0.456747901,3.609940668,1.649959367,0.046303039,-0.402448989,0.675539556,1.521564565,0.208434499,-0.217525905,-0.750727573,-0.821541925,-0.709361204,-1.314843151,1.283197568,-0.043267042,0.716321361,-0.20047118,0.914188181,-1.041128101,-0.186502966,0.716321361,-0.709361204,1.283197568,0.456747901,0.218450951,-0.305132873,0.321109757,0.569665022,-0.186112194
Whittier,California,CA,Los Angeles County,-0.57396714,-1.173020806,-0.202868496,-1.022265397,3.666598351,0.357000986,0.10281022,-0.10281022,1.394765806,-1.424526474,-0.318397723,-0.212720789,1.104617694,0.086146591,-1.178768305,0.508167616,0.579071128,0.617567745,-0.252855678,0.365495459,0.107421179,-0.286503577,0.39476361,-0.417919867,0.067961102,0.353429523,0.125670666,0.310698137,0.246262256,-0.305132873,-0.512137162,1.89390616,0.652987536,-0.109254513,-1.415590556,-0.186502966,-1.377562732,1.064815493,0.213855445,0.126397732,-0.045392617,0.385364779,-0.94768258,0.2976509,0.456747901,3.609940668,1.649959367,0.046303039,-0.402448989,0.675539556,1.521564565,0.208434499,-0.217525905,-0.750727573,-0.821541925,-0.709361204,-1.314843151,1.283197568,-0.140283992,0.716321361,-0.202868496,0.914188181,-1.041128101,-0.186502966,0.716321361,-0.709361204,1.283197568,0.456747901,0.218450951,-0.305132873,0.321109757,0.569665022,-0.186112194
Alhambra,California,CA,Los Angeles County,-0.552065167,-1.179908438,-0.206200025,-1.022265397,3.666598351,1.541084539,0.10281022,-0.10281022,1.394765806,-1.424526474,-0.318397723,-0.212720789,1.104617694,0.086146591,-1.178768305,0.508167616,0.579071128,0.617567745,-0.252855678,0.365495459,0.107421179,-0.286503577,0.39476361,-0.417919867,0.067961102,0.353429523,0.125670666,0.310698137,0.246262256,-0.305132873,-0.512137162,1.89390616,0.652987536,-0.109254513,-1.415590556,-0.186502966,-1.377562732,1.064815493,0.213855445,0.126397732,-0.045392617,0.385364779,-0.94768258,0.2976509,0.456747901,3.609940668,1.649959367,0.046303039,-0.402448989,0.675539556,1.521564565,0.208434499,-0.217525905,-0.750727573,-0.821541925,-0.709361204,-1.314843151,1.283197568,-0.605491861,0.716321361,-0.206200025,0.914188181,-1.041128101,-0.186502966,0.716321361,-0.709361204,1.283197568,0.456747901,0.218450951,-0.305132873,0.321109757,0.569665022,-0.186112194
Lakewood,California,CA,Los Angeles County,-0.596717296,-1.17911757,-0.217180723,-1.022265397,3.666598351,0.957055358,0.10281022,-0.10281022,1.394765806,-1.424526474,-0.318397723,-0.212720789,1.104617694,0.086146591,-1.178768305,0.508167616,0.579071128,0.617567745,-0.252855678,0.365495459,0.107421179,-0.286503577,0.39476361,-0.417919867,0.067961102,0.353429523,0.125670666,0.310698137,0.246262256,-0.305132873,-0.512137162,1.89390616,0.652987536,-0.109254513,-1.415590556,-0.186502966,-1.377562732,1.064815493,0.213855445,0.126397732,-0.045392617,0.385364779,-0.94768258,0.2976509,0.456747901,3.609940668,1.649959367,0.046303039,-0.402448989,0.675539556,1.521564565,0.208434499,-0.217525905,-0.750727573,-0.821541925,-0.709361204,-1.314843151,1.283197568,-0.281287771,0.716321361,-0.217180723,0.914188181,-1.041128101,-0.186502966,0.716321361,-0.709361204,1.283197568,0.456747901,0.218450951,-0.305132873,0.321109757,0.569665022,-0.186112194
Bellflower,California,CA,Los Angeles County,-0.589008254,-1.17941267,-0.224278757,-1.022265397,3.666598351,1.888297009,0.10281022,-0.10281022,1.394765806,-1.424526474,-0.318397723,-0.212720789,1.104617694,0.086146591,-1.178768305,0.508167616,0.579071128,0.617567745,-0.252855678,0.365495459,0.107421179,-0.286503577,0.39476361,-0.417919867,0.067961102,0.353429523,0.125670666,0.310698137,0.246262256,-0.305132873,-0.512137162,1.89390616,0.652987536,-0.109254513,-1.415590556,-0.186502966,-1.377562732,1.064815493,0.213855445,0.126397732,-0.045392617,0.385364779,-0.94768258,0.2976509,0.456747901,3.609940668,1.649959367,0.046303039,-0.402448989,0.675539556,1.521564565,0.208434499,-0.217525905,-0.750727573,-0.821541925,-0.709361204,-1.314843151,1.283197568,-0.451381682,0.716321361,-0.224278757,0.914188181,-1.041128101,-0.186502966,0.716321361,-0.709361204,1.283197568,0.456747901,0.218450951,-0.305132873,0.321109757,0.569665022,-0.186112194
