city,state,cluster
Springfield,OH,35
Bowling Green,KY,35
Idaho Falls,ID,35
Flagstaff,AZ,35
Conway,AR,35
Johnson City,TN,35
Muncie,IN,35
Valdosta,GA,35
Bossier City,LA,35
Bloomington,IN,35
Waterloo,IA,35
Battle Creek,MI,35
Longview,TX,35
Fort Smith,AR,35
Joplin,MO,35
La Crosse,WI,35
Logan,UT,35
Anderson,IN,35
Albany,OR,35
Decatur,AL,35
New Braunfels,TX,35
Rochester,MN,36
Davenport,IA,36
Evansville,IN,36
Bend,OR,36
Kenosha,WI,36
Abilene,TX,36
Odessa,TX,36
Columbia,MO,36
Topeka,KS,36
Fargo,ND,36
Rio Rancho,NM,36
Midland,TX,36
Kansas City,KS,36
Billings,MT,36
Pueblo,CO,36
Peoria,IL,36
Hampton,VA,36
Alexandria,VA,36
Wichita Falls,TX,36
Concord,CA,37
Herriman,UT,37
Taylorsville,UT,37
Millcreek,UT,37
South Jordan,UT,37
Sandy,UT,37
West Jordan,UT,37
Salt Lake City,UT,37
West Valley City,UT,37
San Ramon,CA,37
Brentwood,CA,37
Walnut Creek,CA,37
Antioch,CA,37
Richmond,CA,37
Pittsburg,CA,37
Mountain View,CA,37
Montgomery,AL,38
Chesapeake,VA,38
Sioux Falls,SD,38
Columbus,GA,38
Richmond,VA,38
Newport News,VA,38
Clarksville,TN,38
Augusta,GA,38
Norfolk,VA,38
Orlando,FL,39
Pittsburgh,PA,39
Cleveland,OH,39
Tampa,FL,39
Minneapolis,MN,39
Mesquite,TX,40
Rowlett,TX,40
DeSoto,TX,40
Carrollton,TX,40
Richardson,TX,40
Detroit,MI,41
Reno,NV,42
Madison,WI,42
Des Moines,IA,42
St. Paul,MN,42
Spokane,WA,42
Baton Rouge,LA,42
Modesto,CA,42
Greensboro,NC,42
Toledo,OH,42
Aurora,IL,42
Boise,ID,42
Corona,CA,43
Moreno Valley,CA,43
San Marcos,TX,44
Redding,CA,44
Greenville,NC,44
Appleton,WI,44
Bloomington,IL,44
Lafayette,IN,44
Jacksonville,NC,44
Gulfport,MS,44
Kennewick,WA,44
Duluth,MN,44
Racine,WI,44
Lake Charles,LA,44
Seattle,WA,45
Pasadena,TX,46
Baytown,TX,46
Delray Beach,FL,47
Jupiter,FL,47
Wellington,FL,47
Boynton Beach,FL,47
Palm Beach Gardens,FL,47
Boca Raton,FL,47
Hempstead,NY,47
West Palm Beach,FL,47
Elk Grove,CA,47
Citrus Heights,CA,47
Folsom,CA,47
Rancho Cordova,CA,47
Indio,CA,48
Hemet,CA,48
Perris,CA,48
Temecula,CA,48
Murrieta,CA,48
Jurupa Valley,CA,48
Menifee,CA,48
Miami,FL,49
Hialeah,FL,49
Phoenix,AZ,50
Charleston,SC,51
Roseville,CA,51
Ann Arbor,MI,51
Allentown,PA,51
Pearland,TX,51
Eugene,OR,51
Chattanooga,TN,51
Mobile,AL,51
Fort Collins,CO,51
Brownsville,TX,51
Salem,OR,51
Killeen,TX,51
Little Rock,AR,51
Huntsville,AL,51
Cape Coral,FL,52
Providence,RI,52
Joliet,IL,52
Jersey City,NJ,52
Birmingham,AL,52
Grand Rapids,MI,52
Shreveport,LA,53
Tallahassee,FL,53
Savannah,GA,53
Jackson,MS,53
Springfield,MO,53
Murfreesboro,TN,53
Rockford,IL,53
Port St. Lucie,FL,53
Elyria,OH,54
Ocala,FL,54
Layton,UT,54
Blaine,MN,54
Loveland,CO,54
Springfield,OR,54
Pensacola,FL,54
Coon Rapids,MN,54
Madison,AL,54
Texas City,TX,54
Galveston,TX,54
St. Cloud,FL,54
Kissimmee,FL,54
Temple,TX,54
Bradenton,FL,54
Lorain,OH,54
Winston-Salem,NC,55
Lubbock,TX,55
Laredo,TX,55
Fayetteville,NC,55
Fort Wayne,IN,55
Largo,FL,56
Stamford,CT,56
Bowie,MD,56
Clovis,CA,56
Bristol,CT,56
New Britain,CT,56
Hartford,CT,56
Bridgeport,CT,56
Norwalk,CT,56
Naperville,IL,56
West Allis,WI,56
Danbury,CT,56
Collierville,TN,56
Pinellas Park,FL,56
Clearwater,FL,56
Wheaton,IL,56
Allen,TX,56
Wylie,TX,56
Bartlett,TN,56
Rocky Mount,NC,57
Enid,OK,57
Grand Forks,ND,57
Pocatello,ID,57
Kokomo,IN,57
Manhattan,KS,57
Great Falls,MT,57
Council Bluffs,IA,57
Carson City,NV,57
Casper,WY,57
Stillwater,OK,57
Grand Island,NE,57
Corvallis,OR,57
Harrisonburg,VA,57
Twin Falls,ID,57
Dubuque,IA,57
Springfield,IL,58
Tyler,TX,58
Champaign,IL,58
Bellingham,WA,58
Scranton,PA,58
Tuscaloosa,AL,58
Medford,OR,58
Gastonia,NC,58
Concord,NC,58
Yuma,AZ,58
Nampa,ID,58
Las Cruces,NM,58
Fayetteville,AR,58
Chico,CA,58
Wilmington,NC,58
College Station,TX,58
Springdale,AR,58
Cedar Rapids,IA,58
Bryan,TX,58
Rialto,CA,59
Hesperia,CA,59
Chino,CA,59
Chino Hills,CA,59
Apple Valley,CA,59
Redlands,CA,59
Highland,CA,59
Upland,CA,59
Yucaipa,CA,59
Colton,CA,59
North Richland Hills,TX,60
Grapevine,TX,60
Mansfield,TX,60
Euless,TX,60
Roanoke,VA,61
Lawrence,KS,61
Ames,IA,61
Terre Haute,IN,61
Rapid City,SD,61
Lynchburg,VA,61
Sioux City,IA,61
Cheyenne,WY,61
Dothan,AL,61
Jonesboro,AR,61
Owensboro,KY,61
Eau Claire,WI,61
Decatur,IL,61
Jackson,TN,61
Portsmouth,VA,61
Palm Coast,FL,61
St. Joseph,MO,61
Albany,GA,61
Pasco,WA,61
Lawton,OK,61
San Angelo,TX,61
Yuba City,CA,61
Missoula,MT,61
Victoria,TX,61
Broomfield,CO,62
Suffolk,VA,62
Bismarck,ND,62
Delano,CA,63
Pharr,TX,63
Warren,MI,63
Edinburg,TX,63
McAllen,TX,63
Mission,TX,63
Sterling Heights,MI,63
Lakewood,WA,63
New Haven,CT,63
Waterbury,CT,63
Meriden,CT,63
West Haven,CT,63
Thousand Oaks,CA,63
Milford city ,CT,63
Perth Amboy,NJ,63
Camarillo,CA,63
New Brunswick,NJ,63
Simi Valley,CA,63
St. Clair Shores,MI,63
San Buenaventura,CA,63
Brooklyn Park,MN,64
Edina,MN,64
Maple Grove,MN,64
Plymouth,MN,64
Minnetonka,MN,64
Pflugerville,TX,64
Eden Prairie,MN,64
Bloomington,MN,64
Westland,MI,65
Livonia,MI,65
Taylor,MI,65
Dearborn Heights,MI,65
Dearborn,MI,65
Taunton,MA,66
Fall River,MA,66
Tigard,OR,66
Beaverton,OR,66
Orem,UT,66
Plainfield,NJ,66
Lehi,UT,66
Shawnee,KS,66
Wilmington,DE,66
Melbourne,FL,66
Lenexa,KS,66
New Bedford,MA,66
Burien,WA,67
Shoreline,WA,67
Redmond,WA,67
Auburn,WA,67
Sammamish,WA,67
Hayward,CA,68
Fremont,CA,68
Honolulu,HI,69
Raleigh,NC,69
Bakersfield,CA,70
Stockton,CA,70
Cincinnati,OH,70
Newark,NJ,70
Oakland,CA,71
Sacramento,CA,71
Pomona,CA,72
Lancaster,CA,72
Glendale,CA,72
Pasadena,CA,72
Santa Clarita,CA,72
Torrance,CA,72
Palmdale,CA,72
Long Beach,CA,72
Sunrise,FL,73
Davie,FL,73
Pompano Beach,FL,73
Plantation,FL,73
Santa Barbara,CA,74
Vallejo,CA,74
Columbia,SC,74
Fairfield,CA,74
Santa Maria,CA,74
Manchester,NH,74
Vacaville,CA,74
Sparks,NV,74
Flint,MI,74
Plantation,FL,74
Meridian,ID,74
Reading,PA,74
North Charleston,SC,74
West Sacramento,CA,75
Davis,CA,75
Niagara Falls,NY,75
West Lafayette,IN,75
Youngstown,OH,75
Lake Havasu City,AZ,75
Utica,NY,75
Elkhart,IN,75
Charleston,WV,75
Woodland,CA,75
Kannapolis,NC,75
Saginaw,MI,75
Caldwell,ID,75
Richland,WA,75
League City,TX,76
Parker,CO,76
Castle Rock,CO,76
Noblesville,IN,76
Fishers,IN,76
Carmel,IN,76
Albany,NY,76
Longmont,CO,76
Bethlehem,PA,76
Boulder,CO,76
Arlington,TX,77
Henderson,NV,77
Goodyear,AZ,78
Queen Creek,AZ,78
Avondale,AZ,78
Buckeye,AZ,78
Deltona,FL,79
Daytona Beach,FL,79
Turlock,CA,79
Port Orange,FL,79
Kettering,OH,79
Lancaster,PA,79
Lake Elsinore,CA,80
Beaumont,CA,80
Palm Desert,CA,80
Eastvale,CA,80
Cathedral City,CA,80
Las Vegas,NV,81
Fort Worth,TX,82
Oxnard,CA,83
Buffalo,NY,83
Yonkers,NY,83
Tacoma,WA,83
St. Petersburg,FL,83
McKinney,TX,83
Frisco,TX,83
Plano,TX,83
Bolingbrook,IL,84
Weymouth Town,MA,84
Tracy,CA,84
Bonita Springs,FL,84
Manteca,CA,84
Quincy,MA,84
Marietta,GA,84
Fort Myers,FL,84
Lodi,CA,84
Smyrna,GA,84
Waukegan,IL,84
Missouri City,TX,84
Brookhaven,GA,84
Stonecrest,GA,84
Sugar Land,TX,84
Philadelphia,PA,85
San Antonio,TX,85
Dallas,TX,86
Huntington Beach,CA,87
Irvine,CA,87
Anaheim,CA,87
Santa Ana,CA,87
Irving,TX,88
Garland,TX,88
Grand Prairie,TX,88
Cupertino,CA,89
Palo Alto,CA,89
Gilroy,CA,89
Surprise,AZ,90
Peoria,AZ,90
