city,state_name_x,state_id,county,lat,lng,city_population,county_fips,county_population,density,pct_men,pct_women,pct_hispanic,pct_white,pct_black,pct_native,pct_asian,pct_pacific,pct_voters,pct_poverty,pct_child_poverty,pct_unemployed,pct_professional,pct_service,pct_office,pct_construction,pct_production,pct_drive,pct_carpool,pct_transit,pct_walk,pct_other_transportation,pct_work_at_home,pct_private_work,pct_public_work,pct_self_employed,pct_family_work,avg_income,income_error,income_per_cap,income_per_cap_err,mean_commute,covid_cases_per_100k,covid_deaths_per_100k,covid_case_to_death_pct,LTM_mean_temp,LTM_mean_percipitation,LTM_min_temp,LTM_max_temp,cvap,foreignborn_pct,age29andunder_pct,age65andolder_pct,clf_unemploy_pct,lesshs_pct,lesscollege_pct,lesshs_whites_pct,lesscollege_whites_pct,rural_pct,ruralurban_cc,rep_pct,dem_pct,crime_per_100,avg_propty_tax,size_feature,diversity_feature,education_feature,wealth_feature,home_price_feature,urban_feature,political_feature,weather_feature,covid_feature,profession_feature,transportation_feature,poverty_feature,age_feature,clusterId
Yakima,Washington,WA,Yakima County,1.805563465,-1.322388582,-0.181764696,1.734789306,-0.575778186,-0.20210012,1.032146408,-1.032146408,1.3947658059999999,-0.542832206,-0.9386281320000001,2.52190019,-0.877864937,-0.256971364,-1.8202577009999998,0.928492688,1.086687994,0.457308001,-1.9201108359999999,-0.488545596,-2.0524867959999997,4.740623693,1.5896978819999998,0.201636867,2.649202194,-0.577976852,-0.507279371,-0.613747509,-0.796818357,-0.187178674,0.395595204,-0.472735446,0.652987536,-0.994626025,0.46671570100000004,-1.3937117490000002,0.552883329,-1.462262495,0.574908589,-0.9051125740000001,-1.0678885790000001,-1.325714053,-0.752872772,-1.3541643230000002,-1.254147147,-0.614471433,0.133393194,1.251492835,-0.228738579,0.40646669,2.401434234,1.787119209,1.570636445,1.541039059,1.884432155,2.030375458,0.9566560890000001,-0.901353903,1.687540499,-0.7247589170000001,-0.181764696,0.242467063,-2.3821048819999997,-1.3937117490000002,-0.7247589170000001,2.030375458,-0.901353903,-1.254147147,0.343880177,-0.187178674,-0.595841055,1.062762084,-0.937198084,65
Greenville,North Carolina,NC,Pitt County,-0.267151035,1.225669393,-0.18235043199999998,0.801118357,-0.60667681,-0.37303549,-2.252578434,2.252578434,-0.9291975090000001,-0.007871639,1.9557804419999998,-0.212720789,-0.759507765,-0.600089319,1.0814961140000001,2.04235413,1.251320492,1.846225785,-0.11156286800000001,1.180716466,-0.5798222679999999,-0.427122522,0.04502675,0.884413675,-0.77374795,-0.49627453899999996,-0.449738459,-0.798636638,-0.601240742,-0.800540508,1.3285423570000001,-1.049965106,-0.654853215,-1.252426338,0.992929495,-0.880050131,1.287477848,-1.10425978,-0.914164454,-1.051899188,-0.960682767,0.385364779,1.020043688,0.465064605,0.287770613,-0.622166121,-1.103228892,1.56261776,-0.669531799,1.909830135,-0.33586834600000004,0.34147550299999996,0.04947686,0.141436967,2.110782683,2.030375458,0.276867145,-0.09078752,0.46324138,-1.103749217,-0.18235043199999998,0.287729384,0.03345723,-0.880050131,-1.103749217,2.030375458,-0.09078752,0.287770613,-1.033825629,-0.800540508,-0.51493363,1.4666820180000002,-1.317759886,51
Lawton,Oklahoma,OK,Comanche County,-0.451489498,-0.016317645,-0.18327723,0.970152068,-0.6296664710000001,-0.711938602,2.980850185,-2.980850185,-0.561967456,0.07633511700000001,0.40520442,3.406630507,-0.685534533,1.115500455,0.859549012,0.445118855,0.510474254,1.151766893,-0.577829141,0.9477961779999999,-0.53073345,0.38143641,0.5113425629999999,-0.6075800920000001,1.8074931419999998,-0.5452959270000001,0.068129754,-0.336413815,3.440696633,-3.253987843,3.5978732719999997,-0.299566548,-0.654853215,-0.857424489,1.494184531,-0.91592326,2.1800956069999997,-1.925560126,-1.055627799,-0.45388448,0.17629728,0.263933378,-0.012399221,0.130237195,0.382820338,-0.650201059,-1.045251821,1.229477546,-0.7666179209999999,0.697534972,-0.479854802,1.237190396,0.7770949309999999,1.44421913,1.6802299509999998,2.030375458,1.336641551,-1.251045727,1.253767175,-1.3618497930000002,-0.18327723,0.668435577,-0.33192397100000004,-0.91592326,-1.3618497930000002,2.030375458,-1.251045727,0.382820338,-1.045069419,-3.253987843,-0.434026205,0.501470747,-1.129004425,50
Asheville,North Carolina,NC,Buncombe County,-0.27190086,0.9201347390000001,-0.18366030600000002,0.793733389,-0.574061429,-0.507172274,-1.3871334030000002,1.3871334030000002,-0.907273326,1.408783195,-0.473455326,-0.051860732,-0.833480998,-0.256971364,1.5074567909999999,-0.290450021,-0.257810733,-1.038449613,0.199281314,0.326675411,-0.53073345,0.10019852,-0.392144325,0.315433001,-0.717634013,-0.577976852,-0.21957480899999998,-0.8910812029999999,2.332423482,-0.210769514,-0.360848435,1.3166765,0.652987536,-0.929653025,0.718383167,-0.34351289399999996,0.9372641820000001,-1.2095546959999999,-0.308703028,-0.08831290800000001,0.042055887,-0.46465502799999997,1.5092763790000001,-0.394325747,-0.514871509,-0.577731856,-1.038003466,-1.572111253,1.4527245009999998,-0.698202549,-0.535779418,-0.38370020299999996,0.781101243,0.06450916400000001,1.9506095319999999,0.660507127,-0.029948455,0.073157357,1.3250218120000001,-0.814384511,-0.18366030600000002,-1.601727524,0.523855134,-0.34351289399999996,-0.814384511,0.660507127,0.073157357,-0.514871509,-0.29693135800000003,-0.210769514,-0.528418201,-0.269649126,1.625240216,92
Daytona Beach,Florida,FL,Volusia County,-1.472739665,1.006032424,-0.24219437300000002,-0.6653252789999999,-0.459413525,-0.732711998,-0.537849166,0.537849166,-0.551005365,0.873822628,-0.120268565,-0.132290761,-0.744713119,-0.600089319,1.767046104,0.319021333,0.5790711279999999,0.029948682999999997,-0.9734490090000001,1.064256322,1.432819254,0.873602716,-0.362999587,0.441873151,-0.324836456,-0.49627453899999996,-0.7374430209999999,0.588031831,0.572224948,0.496955679,-0.43649279799999996,-0.241843582,-0.654853215,-1.2320323979999999,-0.33612431600000003,-0.8268903120000001,0.39486009,-0.093428585,-0.308703028,-0.08831290800000001,0.042055887,1.566561135,1.0637164159999999,1.75973059,1.3438786669999998,-0.42955172399999997,-0.860562512,-2.002559198,3.0970838830000003,0.146570609,-0.422928399,1.059216938,0.988718322,1.4026760740000002,0.281220313,0.660507127,1.039553845,-0.792329453,2.805620385,-0.22436013800000001,-0.24219437300000002,-0.603489659,-0.276735,-0.8268903120000001,-0.22436013800000001,0.660507127,-0.792329453,1.3438786669999998,-0.29693135800000003,0.496955679,-0.582356484,0.522453601,2.549394014,16
Port Orange,Florida,FL,Volusia County,-1.489891812,1.011019613,-0.252930397,-0.6653252789999999,-0.459413525,-0.419924012,-0.537849166,0.537849166,-0.551005365,0.873822628,-0.120268565,-0.132290761,-0.744713119,-0.600089319,1.767046104,0.319021333,0.5790711279999999,0.029948682999999997,-0.9734490090000001,1.064256322,1.432819254,0.873602716,-0.362999587,0.441873151,-0.324836456,-0.49627453899999996,-0.7374430209999999,0.588031831,0.572224948,0.496955679,-0.43649279799999996,-0.241843582,-0.654853215,-1.2320323979999999,-0.33612431600000003,-0.8268903120000001,0.39486009,-0.093428585,-1.5585887319999998,-0.982976482,-0.41793173200000006,1.566561135,1.0637164159999999,1.75973059,1.3438786669999998,-0.42955172399999997,-0.860562512,-2.002559198,3.0970838830000003,0.146570609,-0.422928399,1.059216938,0.988718322,1.4026760740000002,0.281220313,0.660507127,1.039553845,-0.792329453,-0.8032791359999999,-0.22436013800000001,-0.252930397,-0.603489659,-0.276735,-0.8268903120000001,-0.22436013800000001,0.660507127,-0.792329453,1.3438786669999998,-1.604159871,0.496955679,-0.582356484,0.522453601,2.549394014,16
Redding,California,CA,Shasta County,0.6704117310000001,-1.429533461,-0.184352315,-1.019217633,-0.605628852,-0.618161559,-0.157961572,0.157961572,-0.731879869,1.245323022,-0.904170887,1.395879787,-0.5819720070000001,-0.256971364,1.204063409,0.7393464059999999,0.771142375,0.083368597,-0.916931885,1.4912768490000001,1.187375166,0.7329837709999999,-0.567012755,0.631533376,-1.110431571,-0.577976852,-0.16203389599999998,-0.059080121,0.572224948,-1.720583259,0.8242465990000001,2.297966922,0.652987536,-1.008483445,0.33568222700000006,-0.7509848509999999,0.540070634,-1.251672662,-1.7669431290000002,-0.735307748,0.8420829879999999,-0.288027535,-0.420174914,-0.5617394520000001,-0.007939643,-0.61831348,-1.0957435340000001,-1.105625436,1.852073081,0.561214105,-0.539753753,1.2961445459999998,0.9335733279999999,1.652752234,2.565479745,2.030375458,1.755923822,-1.7601475180000001,1.113654112,-0.7019441340000001,-0.184352315,-1.258589925,-0.32497166,-0.7509848509999999,-0.7019441340000001,2.030375458,-1.7601475180000001,-0.007939643,-1.74449632,-1.720583259,-0.51493363,0.774247846,1.462176374,60
Bellingham,Washington,WA,Whatcom County,2.21306833,-1.435653834,-0.185034438,1.734554862,-0.59107407,-0.209815953,0.40672436799999995,-0.40672436799999995,-0.764766142,1.21560299,-0.92139951,1.878459959,-0.419230896,0.429264545,1.121616157,0.150891304,-0.7791469740000001,0.083368597,-0.408277769,0.676055842,-0.481644633,0.522055354,0.19075044100000002,-0.228259643,-0.212608582,-0.26750806,1.1614070909999998,0.680476396,0.637417486,-1.201584784,1.05117969,0.508554976,0.652987536,-0.409672931,1.171800586,-0.396022837,0.582779618,-1.020023847,-0.07445943299999999,0.547814428,0.570436155,-1.612733728,1.8542418569999999,-1.276037927,-1.877250899,-0.603478516,-0.5456509420000001,0.044537879,0.637519465,0.111447652,-0.751211124,0.018220813,-0.163507226,0.434335846,2.162459499,2.030375458,-0.253756622,0.12275132400000001,1.182214626,-0.10043747900000001,-0.185034438,-1.193913274,0.452633275,-0.396022837,-0.10043747900000001,2.030375458,0.12275132400000001,-1.877250899,0.039643362,-1.201584784,0.051418342,-0.558163365,0.21482120600000001,88
Suffolk,Virginia,VA,Suffolk city,-0.05987393,1.269167122,-0.185543559,1.659943242,-0.644733396,-0.92085961,-0.926107969,0.926107969,-1.03881842,-0.275351923,2.550167917,-0.29315081800000004,-0.774302412,-0.600089319,0.889757682,-0.710775094,-0.408723855,0.029948682999999997,0.128634909,-0.25562530899999997,-0.727088721,0.27597220100000003,0.16160570300000002,1.0740739,-0.437064329,-0.643338703,-0.7374430209999999,-0.798636638,-0.9923959720000001,-2.027264176,2.63971133,-1.049965106,0.652987536,0.35313884799999995,1.75001179,-0.129183945,1.812798347,0.538340912,-0.19633648899999998,-0.660731107,-0.67196535,0.219776505,1.180994864,0.28648998600000003,0.161037646,-0.669524296,-1.195989323,-0.35034568200000005,-0.156655637,-0.105256024,-0.21201465,0.633764649,0.481997195,0.730871339,1.661646921,-0.709361204,0.08217341,0.041012433,-0.292801656,-0.707290078,-0.185543559,0.331284951,-0.19081077,-0.129183945,-0.707290078,-0.709361204,0.041012433,0.161037646,-0.307043308,-2.027264176,-0.7037176209999999,-0.48996909,0.177534387,86
Conroe,Texas,TX,Montgomery County,-1.260788129,0.157071265,-0.188086692,1.457091066,-0.45230075200000003,-0.6840429,0.38297953799999995,-0.38297953799999995,0.002580235,0.626155699,-0.611284305,-0.29315081800000004,-0.596766654,-0.256971364,-0.44642659999999995,-0.899921376,-0.8065857240000001,-0.931609783,0.227539876,-1.070846316,0.058332361,0.7329837709999999,-0.275565372,0.644177391,-0.212608582,-0.479934076,-0.9100657590000001,-0.7061920740000001,0.376647333,0.119502242,-0.638211102,1.201230568,-0.654853215,0.760625448,1.078205248,0.751137446,1.791443855,1.443877191,0.194282708,0.666174256,0.478408028,1.136031622,0.48959179399999997,1.190523993,1.058729493,-0.47454040200000003,-0.34667223399999997,0.009781291999999999,-0.44619549,-0.991861303,9.39e-05,-0.015518909,0.143774243,0.34317446700000004,1.7907127619999998,-0.709361204,2.393533331,-2.13859825,0.347861674,1.066843047,-0.188086692,-0.323028608,0.007806585,0.751137446,1.066843047,-0.709361204,-2.13859825,1.058729493,0.306246856,0.119502242,-0.609325625,-0.84143189,-0.178143086,72
