city,state_name_x,danger,year
Albuquerque,New Mexico,380.73419739070704,2005
Albuquerque,New Mexico,363.30608537693007,2006
Albuquerque,New Mexico,396.0056438599637,2007
Albuquerque,New Mexico,357.7874508971228,2008
Albuquerque,New Mexico,307.7062242290383,2009
Albuquerque,New Mexico,314.44420832020415,2010
Albuquerque,New Mexico,305.0940193238292,2011
Albuquerque,New Mexico,299.8822433012332,2012
Albuquerque,New Mexico,309.9441921295674,2013
Albuquerque,New Mexico,353.13863232141756,2014
Arlington,Texas,259.3464338496907,2005
Arlington,Texas,292.4794819425012,2006
Arlington,Texas,278.2249719813047,2007
Arlington,Texas,240.7433029300013,2008
Arlington,Texas,245.8428294082891,2009
Arlington,Texas,210.7060568413795,2010
Arlington,Texas,200.89620719967402,2011
Arlington,Texas,201.32087161707892,2012
Arlington,Texas,193.99891753461924,2013
Arlington,Texas,193.64137700534758,2014
Atlanta,Georgia,669.9391175528128,2005
Atlanta,Georgia,621.4852080262831,2006
Atlanta,Georgia,649.5204005710956,2007
Atlanta,Georgia,555.5555555555558,2008
Atlanta,Georgia,460.0461927180448,2009
Atlanta,Georgia,547.5198986673914,2010
Atlanta,Georgia,573.1165385528274,2011
Atlanta,Georgia,551.6187268471369,2012
Atlanta,Georgia,489.2022526717209,2013
Atlanta,Georgia,490.9730765929442,2014
Aurora,Colorado,248.06683610014616,2005
Aurora,Illinois,248.06683610014616,2005
Aurora,Colorado,245.2658863152332,2006
Aurora,Illinois,245.2658863152332,2006
Aurora,Colorado,219.100776604978,2007
Aurora,Illinois,219.100776604978,2007
Aurora,Colorado,204.98035236135215,2008
Aurora,Illinois,204.98035236135215,2008
Aurora,Colorado,187.6462128179648,2009
Aurora,Illinois,187.6462128179648,2009
Aurora,Colorado,178.2956705775229,2010
Aurora,Illinois,178.2956705775229,2010
Aurora,Colorado,176.5737437261896,2011
Aurora,Illinois,176.5737437261896,2011
Aurora,Colorado,166.19577862722295,2012
Aurora,Illinois,166.19577862722295,2012
Aurora,Colorado,166.41240931164185,2013
Aurora,Illinois,166.41240931164185,2013
Aurora,Colorado,162.98710920136327,2014
Aurora,Illinois,162.98710920136327,2014
Austin,Texas,195.83878652677623,2005
Austin,Texas,206.13879993744845,2006
Austin,Texas,216.0105019830725,2007
Austin,Texas,208.88213553451405,2008
Austin,Texas,209.31895912714413,2009
Austin,Texas,191.80404610382212,2010
Austin,Texas,171.9903546619548,2011
Austin,Texas,163.52483668527233,2012
Austin,Texas,145.39444586698954,2013
Austin,Texas,158.46464968293805,2014
Baltimore,Maryland,701.797075949505,2005
Baltimore,Maryland,678.591370797232,2006
Baltimore,Maryland,652.4445042507886,2007
Baltimore,Maryland,635.4119224835277,2008
Baltimore,Maryland,605.1772588864278,2009
Baltimore,Maryland,600.1020998098115,2010
Baltimore,Maryland,567.027413344224,2011
Baltimore,Maryland,562.0697263195595,2012
Baltimore,Maryland,560.4886047366913,2013
Baltimore,Maryland,535.4178661872323,2014
Boston,Massachusetts,527.0715253466847,2005
Boston,Massachusetts,535.7819176269968,2006
Boston,Massachusetts,462.072636034164,2007
Boston,Massachusetts,441.77909390949117,2008
Boston,Massachusetts,396.78191412670486,2009
Boston,Massachusetts,376.8818997593888,2010
Boston,Massachusetts,338.09762150383284,2011
Boston,Massachusetts,334.0056576727427,2012
Boston,Massachusetts,312.95481974964224,2013
Boston,Massachusetts,290.2754071205799,2014
Buffalo,New York,556.0792038662887,2005
Buffalo,New York,564.2901452437482,2006
Buffalo,New York,509.80163019661643,2007
Buffalo,New York,549.9298898586324,2008
Buffalo,New York,583.6481733077729,2009
Buffalo,New York,550.9165359151964,2010
Buffalo,New York,495.26828301915555,2011
Buffalo,New York,515.4819878521839,2012
Buffalo,New York,502.18517788623177,2013
Buffalo,New York,491.1403573266677,2014
Chicago,Illinois,501.8373441459206,2005
Chicago,Illinois,494.9688501208634,2006
Chicago,Illinois,494.76815531890725,2007
Chicago,Illinois,505.9760280266804,2008
Chicago,Illinois,470.4484679460368,2009
Chicago,Illinois,441.81662102435166,2010
Chicago,Illinois,418.28404124254365,2011
Chicago,Illinois,407.91882385867245,2012
Chicago,Illinois,377.68777976838544,2013
Chicago,Illinois,354.3601770993283,2014
Cincinnati,Ohio,475.7359398266569,2005
Cincinnati,Ohio,488.767534551477,2006
Cincinnati,Ohio,432.6269299734042,2007
Cincinnati,Ohio,506.78275928420317,2008
Cincinnati,Ohio,477.62375287797295,2009
Cincinnati,Ohio,486.9621442499071,2010
Cincinnati,Ohio,414.0530354018039,2011
Cincinnati,Ohio,392.02711644677316,2012
Cincinnati,Ohio,385.5766279583527,2013
Cincinnati,Ohio,365.3698210440383,2014
Columbus,Ohio,339.7372964787102,2005
Columbus,Georgia,339.7372964787102,2005
Columbus,Ohio,325.4473055046361,2006
Columbus,Georgia,325.4473055046361,2006
Columbus,Ohio,342.5088419402131,2007
Columbus,Georgia,342.5088419402131,2007
Columbus,Ohio,311.4297760168747,2008
Columbus,Georgia,311.4297760168747,2008
Columbus,Ohio,283.1216066558598,2009
Columbus,Georgia,283.1216066558598,2009
Columbus,Ohio,278.1077794704924,2010
Columbus,Georgia,278.1077794704924,2010
Columbus,Ohio,265.5124560537016,2011
Columbus,Georgia,265.5124560537016,2011
Columbus,Ohio,241.1886870065113,2012
Columbus,Georgia,241.1886870065113,2012
Columbus,Ohio,217.84400096035597,2013
Columbus,Georgia,217.84400096035597,2013
Columbus,Ohio,223.39617554413698,2014
Columbus,Georgia,223.39617554413698,2014
Dallas,Texas,501.632524670752,2005
